"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZD1.00383GLS020","GLS","glass",20.00,"bottle",NULL,1850,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS001","GLS","glass",22.00,"gin bottle",NULL,1750,1850,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage",NULL,"gl-fle","green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS002","GLS","glass: colourless",6.00,NULL,NULL,1900,2005,-6.90,-8.64,"Not classified",NULL,NULL,NULL,"gl","colourless","Europe",NULL,NULL,NULL,NULL,"press-moulded",NULL
"NZD1.00384GLS003","GLS","glass: forest-glass",5.00,"maigelein (palm cup)",NULL,1400,1500,-6.90,-8.64,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","blue green","Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS004","GLS","glass: colourless",16.00,"marble",NULL,1950,2005,-6.90,-8.64,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,23.00,NULL,NULL,NULL
"NZD1.00384GLS005","GLS","glass",50.00,"wine bottle",NULL,1775,1825,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-128","brown green","the Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS006","GLS","glass",19.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,5,NULL,NULL,NULL,NULL
"NZD1.00384GLS007","GLS","glass",8.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS008","GLS","glass",12.00,"bottle",NULL,1800,1900,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS009","GLS","glass: colourless",37.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS010","GLS","glass",1.00,"window glass",NULL,1500,1800,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS011","GLS","glass",3.00,"window glass",NULL,1500,1800,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00384GLS012","GLS","glass: colourless",18.00,"window glass",NULL,1850,2000,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS001","GLS","glass",21.00,"bottle",NULL,1700,1900,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS002","GLS","glass: colourless",10.00,NULL,NULL,1900,2000,-6.90,-8.64,"Not classified",NULL,NULL,NULL,"gl","colourless, with a hint of green","Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00386GLS003","GLS","glass: forest-glass",3.00,"berkemeyer",NULL,1550,1625,-6.90,-8.64,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-ber","blue green","Germany",NULL,NULL,NULL,NULL,"raised prunts",NULL
"NZD1.00386GLS004","GLS","glass: forest-glass",11.00,"stangenglas",NULL,1500,1600,-6.90,-8.64,"Food Processing & Consumption","Consumption: drinking","Stangenglas",NULL,"gl-sta","blue green","Germany",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00386GLS005","GLS","glass: colourless",64.00,"kilner jar",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, food general","Kilner jar",NULL,"gl-pot","colourless","western Europe",25.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS006","GLS","glass: colourless",61.00,"lemonade bottle",NULL,1946,2005,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless","Netherlands",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00386GLS007","GLS","glass: colourless",42.00,"lemonade bottle",NULL,1946,2005,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,20,NULL,NULL,NULL,NULL
"NZD1.00386GLS008","GLS","glass",28.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS009","GLS","glass",63.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS010","GLS","glass: colourless",102.00,"bottle",NULL,1950,2000,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS011","GLS","glass: forest-glass",16.00,"roemer",NULL,1625,1725,-6.90,-8.64,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00386GLS012","GLS","glass",22.00,"window glass",NULL,1500,1800,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS013","GLS","glass",6.00,"window glass",NULL,1500,1800,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS014","GLS","glass",3.00,"case-bottle",NULL,1575,1700,-6.90,-8.64,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00386GLS015","GLS","glass: colourless",32.00,"window glass",NULL,1850,2000,-6.90,-8.64,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00387GLS001","GLS","glass",9.00,"bottle",NULL,1850,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00387GLS002","GLS","glass",2.00,"small bottle",NULL,1900,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","Europe",100.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00387GLS003","GLS","glass",3.00,"bottle",NULL,1600,1800,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","yellow green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00387GLS004","GLS","glass: forest-glass",22.00,"beaker/mug",NULL,1475,1525,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","blue green","Germany",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00387GLS005","GLS","glass",48.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,30,NULL,NULL,NULL,NULL
"NZD1.00387GLS006","GLS","glass: colourless",17.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00387GLS007","GLS","glass",33.00,"wine bottle",NULL,1675,1775,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00388GLS001","GLS","glass: forest-glass",5.00,"roemer",NULL,1625,1725,-7.80,-8.45,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00388GLS002","GLS","glass: forest-glass",3.00,"roemer",NULL,1625,1675,-7.80,-8.45,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00388GLS003","GLS","glass",12.00,"bottle",NULL,1950,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00388GLS004","GLS","glass",23.00,"bottle",NULL,1950,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-214","red brown","western Europe",20.00,45,NULL,NULL,NULL,NULL
"NZD1.00388GLS005","GLS","glass: colourless",25.00,"bottle",NULL,1950,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,45,NULL,NULL,NULL,NULL
"NZD1.00388GLS006","GLS","glass",13.00,"window glass",NULL,1500,1800,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00388GLS007","GLS","glass: colourless",12.00,"window glass",NULL,1850,2000,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00388GLS008","GLS","glass",23.00,"bottle",NULL,1750,1850,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00388GLS009","GLS","glass",15.00,"wine bottle",NULL,1675,1775,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00390GLS001","GLS","glass",8.00,"window glass",NULL,1500,1800,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","yellow green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS001","GLS","glass",14.00,"bottle",NULL,1700,1800,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS002","GLS","glass",119.00,"case-bottle",NULL,1600,1700,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00391GLS003","GLS","glass: colourless",24.00,"goblet",NULL,1750,1850,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS004","GLS","glass: colourless",46.00,"lemonade bottle",NULL,1946,2005,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS005","GLS","glass",125.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS006","GLS","glass",15.00,"beer bottle",NULL,1960,2005,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Beer bottle",NULL,"gl-fle","red brown","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS007","GLS","glass",133.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS008","GLS","glass",23.00,"bottle",NULL,1900,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,15,NULL,NULL,NULL,NULL
"NZD1.00391GLS009","GLS","glass: colourless",75.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,50,NULL,NULL,NULL,NULL
"NZD1.00391GLS010","GLS","glass: forest-glass",10.00,"roemer",NULL,1625,1725,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,10,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00391GLS011","GLS","glass",14.00,"window glass",NULL,1500,1800,-7.47,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS012","GLS","glass",13.00,"case-bottle",NULL,1575,1700,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS013","GLS","glass",16.00,"case-bottle",NULL,1575,1700,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS014","GLS","glass: colourless",22.00,"window glass",NULL,1850,2000,-7.47,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00391GLS015","GLS","glass",250.00,"wine bottle",NULL,1675,1775,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00392GLS001","GLS","glass",66.00,"wine bottle",NULL,1750,1850,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS002","GLS","glass",14.00,"bottle",NULL,1600,1700,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","blue green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS003","GLS","glass: forest-glass",1.00,"stangenglas",NULL,1600,1650,-7.80,-8.45,"Food Processing & Consumption","Consumption: drinking","Stangenglas",NULL,"gl-sta","light yellow green","Netherlands/Germany",10.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS004","GLS","glass: colourless",35.00,"lemonade bottle",NULL,1946,2005,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Lemonade bottle",NULL,"gl-fle-225","colourless, with a hint of green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS005","GLS","glass",45.00,"bottle",NULL,1950,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS006","GLS","glass: colourless",26.00,"bottle",NULL,1950,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS007","GLS","glass",9.00,"window glass",NULL,1500,1800,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS008","GLS","glass",3.00,"window glass",NULL,1500,1800,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS009","GLS","glass: colourless",2.00,"window glass",NULL,1850,2000,-7.80,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00392GLS010","GLS","glass",39.00,"bottle",NULL,1900,2000,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,25,NULL,NULL,NULL,NULL
"NZD1.00392GLS011","GLS","glass",59.00,"wine bottle",NULL,1675,1775,-7.80,-8.45,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS001","GLS","glass: forest-glass",4.00,"maigelein (palm cup)",NULL,1400,1500,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl-mai-1","light green","Germany",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00393GLS002","GLS","glass: forest-glass",1.00,NULL,NULL,1550,1650,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking",NULL,NULL,"gl","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS003","GLS","glass: colourless",2.00,"marble",NULL,1950,1980,-7.47,-8.45,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless, with a hint of orange","Japan/Taiwan",40.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS004","GLS","glass",109.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",25.00,15,NULL,NULL,NULL,NULL
"NZD1.00393GLS005","GLS","glass",32.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS006","GLS","glass",2.00,"bottle",NULL,1900,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","light green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS007","GLS","glass: colourless",94.00,"bottle",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,105,NULL,NULL,NULL,NULL
"NZD1.00393GLS008","GLS","glass",8.00,"window glass",NULL,1500,1800,-7.47,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS009","GLS","glass",22.00,"case-bottle",NULL,1575,1700,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","blue green","Netherlands/Germany",NULL,5,NULL,NULL,NULL,NULL
"NZD1.00393GLS010","GLS","glass: colourless",19.00,"beer stein",NULL,1950,2000,-7.47,-8.45,"Food Processing & Consumption","Consumption: drinking","Beer stein",NULL,"gl-bek","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS011","GLS","glass: colourless",16.00,"window glass",NULL,1850,2000,-7.47,-8.45,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00393GLS012","GLS","glass",120.00,"bottle",NULL,1900,2000,-7.47,-8.45,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00395GLS001","GLS","glass",65.00,"wine bottle",NULL,1700,1775,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00395GLS002","GLS","glass",10.00,"bottle",NULL,1700,1900,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","aquamarine","Europe",NULL,60,NULL,NULL,NULL,NULL
"NZD1.00395GLS003","GLS","glass",13.00,"bottle",NULL,1600,1700,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","blue green","Netherlands/Germany",NULL,25,NULL,NULL,"ribbed pattern",NULL
"NZD1.00395GLS004","GLS","glass",9.00,"bottle",NULL,1950,2000,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00395GLS005","GLS","glass: colourless",9.00,"bottle",NULL,1950,2000,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,10,NULL,NULL,NULL,NULL
"NZD1.00395GLS006","GLS","glass: colourless",26.00,"window glass",NULL,1850,2000,-7.15,-9.07,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00395GLS007","GLS","glass",19.00,"bottle",NULL,1950,2000,-7.15,-9.07,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS001","GLS","glass",36.00,"wine bottle",NULL,1775,1850,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS002","GLS","glass: colourless",5.00,"marble",NULL,1960,2005,-7.21,-8.99,"Games & Recreation","Marbles","Marble (glass)",NULL,"gl-kni","colourless","Japan/Taiwan",NULL,NULL,16.00,NULL,NULL,NULL
"NZD1.00397GLS003","GLS","glass: opaline",5.00,"bead",NULL,1600,1800,-7.21,-8.99,"Personal Artefacts & Clothing","Body adornment","Bead",NULL,"gl-kra","white","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS004","GLS","glass: colourless",37.00,"plug",NULL,1850,1950,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Plug",NULL,"gl-stp","colourless","Europe",NULL,NULL,26.00,NULL,NULL,NULL
"NZD1.00397GLS005","GLS","glass: opaline",10.00,"lamp shade",NULL,1850,1950,-7.21,-8.99,"Interiors & Accessories","Lampshade",NULL,NULL,"gl-lam","opaque blue","western Europe",5.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS006","GLS","glass: colourless",9.00,"goblet",NULL,1700,1800,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS007","GLS","glass: colourless",2.00,"beaker/mug",NULL,1575,1625,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek-19","colourless, with a hint of green","Netherlands/Germany",NULL,5,NULL,NULL,"waffle pattern",NULL
"NZD1.00397GLS008","GLS","glass: opaline",1.00,NULL,NULL,1900,2000,-7.21,-8.99,"Not classified",NULL,NULL,NULL,"gl","blue on white","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS009","GLS","glass",122.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","emerald green","western Europe",85.00,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS010","GLS","glass",80.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","red brown","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS011","GLS","glass",120.00,"bottle",NULL,1800,1900,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","brown green","western Europe",NULL,40,NULL,NULL,NULL,NULL
"NZD1.00397GLS012","GLS","glass: colourless",114.00,"bottle",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","colourless","western Europe",NULL,20,NULL,NULL,NULL,NULL
"NZD1.00397GLS013","GLS","glass",42.00,"bottle",NULL,1900,2000,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle","aquamarine","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS014","GLS","glass",4.00,NULL,NULL,1900,2005,-7.21,-8.99,"Food Processing & Consumption","Supplies, liquids general",NULL,NULL,"gl","emerald green","Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS015","GLS","glass: forest-glass",6.00,"roemer",NULL,1625,1725,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","light green","Netherlands/Germany",NULL,NULL,NULL,NULL,"applique, raspberry prunts",NULL
"NZD1.00397GLS016","GLS","glass",17.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","light green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS017","GLS","glass",2.00,"window glass",NULL,1500,1800,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","blue green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS018","GLS","glass",1.00,"medicine bottle",NULL,1650,1800,-7.21,-8.99,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle","green","Netherlands/Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZD1.00397GLS019","GLS","glass: colourless",181.00,"beaker/mug",NULL,1950,2000,-7.21,-8.99,"Food Processing & Consumption","Consumption: drinking","Beaker (glass)",NULL,"gl-bek","colourless","western Europe",NULL,190,NULL,NULL,NULL,NULL
"NZD1.00397GLS020","GLS","glass: colourless",25.00,"window glass",NULL,1850,2000,-7.21,-8.99,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
