"find_number","material_category","material","weight_in_grams","object_name","object_part","start_date","end_date","minimum_level_height","maximum_level_height","level_1_of_the_functional_classification","level_2_of_the_functional_classification","level_3_of_the_functional_classification","level_4_of_the_functional_classification","glass_deventer_system_code","glass_colour","glass_location_of_production","glass_rim_eve_estimated_vessel_equivalent","glass_base_eve_estimated_vessel_equivalent","glass_reconstructed_object_diameter_in_mm","glass_reconstructed_object_height_in_mm","glass_decoration","glass_mark"
"NZR2.01005GLS001","GLS",NULL,18.00,"wine bottle",NULL,1700,1760,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","green","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.01005GLS002","GLS","glass: colourless",36.00,"carafe",NULL,1800,1850,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Carafe",NULL,"gl-fle-99","colourless","western Europe",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.01005GLS003","GLS","glass: colourless",36.00,"goblet",NULL,1800,1875,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-77","colourless","Netherlands",NULL,100,42.00,NULL,NULL,NULL
"NZR2.01005GLS004","GLS","glass: colourless",7.00,"glasses","glasses",1800,1937,NULL,NULL,"Personal Artefacts & Clothing","Personal supportive aids: prosthesis","Glasses",NULL,"gl-bri","colourless",NULL,NULL,NULL,46.00,36.00,NULL,NULL
"NZR2.01005GLS005","GLS",NULL,6.00,"window glass",NULL,1800,1950,NULL,NULL,"Buildings & Structures","Windows","Window glass",NULL,"gl-rui","green",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.01006GLS001","GLS",NULL,493.00,"sherry bottle",NULL,1925,1937,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Sherry bottle",NULL,"gl-fle-187","brown","England",100.00,100,84.00,263.00,"press-moulded","WILLIAMS & HUMBERT JEREZ"
"NZR2.01006GLS002","GLS","glass: colourless",46.00,"medicine bottle",NULL,1875,1925,NULL,NULL,"Personal Artefacts & Clothing","Medical care: medicament","Medicinal bottle",NULL,"gl-fle-63","colourless","France",100.00,100,29.00,105.00,NULL,NULL
"NZR2.01006GLS003","GLS",NULL,41.00,"medicine bottle",NULL,1910,1937,NULL,NULL,"Personal Artefacts & Clothing","Personal care: hair care 1300-2005","Hair dye",NULL,"gl-fle-188","ultramarin","England",100.00,100,23.00,80.00,NULL,"+"
"NZR2.01006GLS004","GLS","glass",475.00,"wine bottle",NULL,1775,1825,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle-38","yellow green","Netherlands",NULL,100,90.00,NULL,NULL,NULL
"NZR2.01006GLS005","GLS","glass",226.00,"case-bottle",NULL,1600,1675,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle for distilled beverage, case-bottle",NULL,"gl-fle-7","green","Netherlands/Germany",NULL,45,103.00,NULL,NULL,NULL
"NZR2.01006GLS006","GLS",NULL,15.00,"bottle",NULL,1600,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Bottle, general usage",NULL,"gl-fle-9","yellow green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01006GLS007","GLS","glass: colourless",48.00,"lid",NULL,1825,1875,NULL,NULL,"Food Processing & Consumption","Food preparation and consumption: various parts of kitchenware","Lid (glass)",NULL,"gl-dek-14","colourless","Europe",75.00,NULL,46.00,38.00,NULL,NULL
"NZR2.01006GLS008","GLS",NULL,32.00,"wine bottle",NULL,1775,1850,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Wine bottle",NULL,"gl-fle","yellow green","Netherlands",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.01006GLS009","GLS",NULL,22.00,"storage bottle",NULL,1575,1650,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-34","yellow green","Netherlands/Germany",100.00,NULL,NULL,NULL,NULL,NULL
"NZR2.01006GLS010","GLS",NULL,102.00,"storage bottle",NULL,1650,1700,NULL,NULL,"Food Processing & Consumption","Supplies, liquids general","Large storage bottle, for liquids",NULL,"gl-fle-105","green","Germany",NULL,NULL,NULL,NULL,NULL,NULL
"NZR2.01006GLS011","GLS","glass: forest-glass",28.00,"roemer",NULL,1630,1700,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Roemer",NULL,"gl-roe","green","the Netherlands/Germany",NULL,100,NULL,NULL,"applique, raspberry prunts",NULL
"NZR2.01006GLS012","GLS","glass: colourless",55.00,"goblet",NULL,1750,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-1","colourless","Netherlands",NULL,NULL,NULL,NULL,"opaque white spiral",NULL
"NZR2.01006GLS013","GLS","glass: colourless",78.00,"goblet",NULL,1700,1800,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-2","colourless","Netherlands",NULL,105,NULL,NULL,NULL,NULL
"NZR2.01006GLS014","GLS","glass: lead-glass",120.00,"goblet",NULL,1800,1850,NULL,NULL,"Food Processing & Consumption","Consumption: drinking","Goblet",NULL,"gl-kel-26","colourless","England?",NULL,100,NULL,NULL,"facetted",NULL
