"find_number","material_category","material","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","ceramics_rim_eve_estimated_vessel_equivalent","ceramics_base_eve_estimated_vessel_equivalent","ceramics_reconstructed_object_diameter_in_mm","ceramics_reconstructed_object_height_in_mm","ceramics_surface_treatment","ceramics_decoration_technique","ceramics_image_type","ceramics_mark","material_simplified"
"NZR2.00526CER187","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,40.0,200.0,15.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00526CER190","CER","industrial ware: white",1825,1848,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,35.0,150.0,30.0,"lead-glaze","overall white",NULL,"Wedgewood","industrial ware"
"NZR2.00527CER121","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,15.0,180.0,35.0,"lead-glaze","transfer printing, red","landscape",NULL,"industrial ware"
"NZR2.00527CER122","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,25.0,140.0,30.0,"lead-glaze","transfer printing","animal scenery",NULL,"industrial ware"
"NZR2.00527CER124","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",40.0,15.0,145.0,30.0,"lead-glaze","transfer printing, purple","landscape",NULL,"industrial ware"
"NZR2.00527CER128","CER","industrial ware: white",1870,1890,"Food Processing & Consumption","Consumption: drinking",35.0,100.0,95.0,60.0,"lead-glaze","transfer printing, blue","geometric patterns","P. Regout 8","industrial ware"
"NZR2.00527CER132","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",50.0,40.0,115.0,65.0,"lead-glaze","transfer printing, blue","genre scene",NULL,"industrial ware"
"NZR2.00527CER134","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",20.0,20.0,110.0,25.0,"lead-glaze","transfer printing, blue","chinese decor",NULL,"industrial ware"
"NZR2.00527CER135","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",40.0,75.0,130.0,25.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZR2.00527CER136","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,20.0,140.0,35.0,"lead-glaze","transfer printing, blue","landscape",NULL,"industrial ware"
"NZR2.00527CER137","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",20.0,20.0,110.0,25.0,"lead-glaze with blue underglaze","blue-white","floral motif",NULL,"industrial ware"
"NZR2.00527CER142","CER","industrial ware: white",1825,1900,"Food Processing & Consumption","Consumption: drinking",5.0,50.0,90.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER148","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",40.0,40.0,100.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER150","CER","industrial ware: white",1775,1800,"Food Processing & Consumption","Consumption: drinking",30.0,40.0,120.0,30.0,"lead-glaze","enamelled, polychrome","floral motif",NULL,"industrial ware"
"NZR2.00527CER153","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",40.0,65.0,125.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER154","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Consumption: drinking",15.0,15.0,130.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER155","CER","industrial ware: white",1840,1875,"Food Processing & Consumption","Consumption: drinking",10.0,30.0,135.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER157","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",40.0,70.0,95.0,55.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER162","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",40.0,0.0,80.0,40.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER163","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Consumption: drinking",60.0,0.0,75.0,37.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER166","CER","industrial ware: white",1775,1825,"Food Processing & Consumption","Consumption: drinking",65.0,0.0,115.0,50.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER167","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Consumption: drinking",60.0,0.0,70.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER172","CER","industrial ware: white",1850,1925,"Food Processing & Consumption","Consumption of food and drinks: table accessories",40.0,100.0,45.0,60.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER173","CER","industrial ware: white",1760,1800,"Food Processing & Consumption","Food preparation: cooking - and hearth utensils",10.0,15.0,90.0,45.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER221","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,10.0,200.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER224","CER","industrial ware: white",1850,1880,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,10.0,210.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER226","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",15.0,15.0,195.0,30.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER227","CER","industrial ware: white",1775,1800,"Food Processing & Consumption","Food consumption: plate, dish, bowl",10.0,10.0,240.0,25.0,"lead-glaze","enamelled",NULL,NULL,"industrial ware"
"NZR2.00527CER236","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",50.0,20.0,250.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER237","CER","industrial ware: white",1825,1875,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,15.0,250.0,35.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER240","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",20.0,10.0,200.0,20.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
"NZR2.00527CER241","CER","industrial ware: white",1800,1850,"Food Processing & Consumption","Food consumption: plate, dish, bowl",45.0,30.0,220.0,25.0,"lead-glaze","overall white",NULL,NULL,"industrial ware"
