"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZR2.00043MTL010","MTL","metal: brass","999",1575,1650,"Personal Artefacts & Clothing","Belt clasps and mounts",NULL,NULL,NULL,"metal: brass"
"NZR2.00043MTL012","MTL","metal: brass","999",1550,1600,"Craft & Industry","Tools, general: sewing",NULL,NULL,NULL,"metal: brass"
"NZR2.00043MTL013","MTL","metal: brass","999",1750,1850,"Science & Technology","Measuring: time",NULL,NULL,NULL,"metal: brass"
"NZR2.00044MTL001","MTL","metal: brass","999",1500,1600,"Communication & Exchange","Exchange, religious: accessories",NULL,NULL,NULL,"metal: brass"
"NZR2.00053MTL001","MTL","metal: brass","999",1775,1900,"Food Processing & Consumption","Food consumption: cutlery and tools",NULL,NULL,NULL,"metal: brass"
"NZR2.00251MTL002","MTL","metal: brass","999",1800,1900,"Personal Artefacts & Clothing","Personal accessories",NULL,NULL,NULL,"metal: brass"
"NZR2.00251MTL004","MTL","metal: brass","999",1800,1937,"Buildings & Structures","Fixtures for water or gas",NULL,NULL,NULL,"metal: brass"
"NZR2.00269MTL002","MTL","metal: brass","999",1700,1900,"Craft & Industry","Materials of metal working",NULL,NULL,NULL,"metal: brass"
"NZR2.00269MTL005","MTL","metal: brass","999",1900,1937,"Buildings & Structures","Fixtures, electrical",NULL,NULL,NULL,"metal: brass"
"NZR2.00280MTL001","MTL","metal: brass","999",1700,1800,"Personal Artefacts & Clothing","Shoe clasp",NULL,NULL,NULL,"metal: brass"
