"find_number","material_category","material","feature_number","start_date","end_date","level_1_of_the_functional_classification","level_2_of_the_functional_classification","minimum_level_height","maximum_level_height","avg_level_height","material_simplified"
"NZD1.00464MTL116","MTL","metal: lead alloy","777","1350","1800","Games & Recreation","Gaming attributes","-8.40","-10.42","-9.4100000000000000","metal: lead"
"NZD1.00466MTL164","MTL","metal: lead alloy","777","1350","1800","Communication & Exchange","Exchange, profane: unspecified token","-8.41","-10.42","-9.4150000000000000","metal: lead"
"NZD1.00468MTL022","MTL","metal: lead alloy","777","1400","1500","Personal Artefacts & Clothing","Belt clasps and mounts","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL032","MTL","metal: lead alloy","777","1400","1500","Craft & Industry","Tools, food production: fishing and hunting","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL033","MTL","metal: lead alloy","777","1400","1450","Games & Recreation","Toys: miniature arms & armour","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL047","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL069","MTL","metal: lead alloy","777","1700","1800","Personal Artefacts & Clothing","Shoe clasp","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00469MTL130","MTL","metal: lead alloy","777","1450","1550","Communication & Exchange","Exchange, religious: pilgrimage","-8.60","-10.42","-9.5100000000000000","metal: lead"
"NZD1.00470MTL014","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-10.43","-11.50","-10.9650000000000000","metal: lead"
"NZD1.00501MTL008","MTL","metal: lead alloy","888","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00501MTL010","MTL","metal: lead alloy","888","1400","1600","Games & Recreation",NULL,"-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00501MTL041","MTL","metal: lead alloy","888","1350","1800","Games & Recreation","Gaming attributes","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00505MTL021","MTL","metal: lead alloy","777","1550","1650","Games & Recreation","Toys: miniature food processing & food service","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00505MTL027","MTL","metal: lead alloy","777","1400","1600","Personal Artefacts & Clothing","Belt clasps and mounts","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00506MTL003","MTL","metal: lead alloy","777","1375","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00506MTL021","MTL","metal: lead alloy","777","1550","1650","Games & Recreation","Toys: miniature food processing & food service","-10.80","-11.80","-11.3000000000000000","metal: lead"
"NZD1.00507MTL028","MTL","metal: lead alloy","777","1400","1600","Personal Artefacts & Clothing","Belt clasps and mounts","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL034","MTL","metal: lead alloy","777","1350","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL049","MTL","metal: lead alloy","777","1550","1700","Personal Artefacts & Clothing","Belt clasps and mounts","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL053","MTL","metal: lead alloy","777","1450","1550","Games & Recreation",NULL,"-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL056","MTL","metal: lead alloy","777","1300","1500","Games & Recreation",NULL,"-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL062","MTL","metal: lead alloy","777","1400","1600","Personal Artefacts & Clothing","Belt clasps and mounts","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL063","MTL","metal: lead alloy","777","1350","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL064","MTL","metal: lead alloy","777","1375","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL095","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL107","MTL","metal: lead alloy","777","1400","2000","Not classified",NULL,"-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00507MTL192","MTL","metal: lead alloy","777","1325","1425","Communication & Exchange","Exchange, financial: pseudo monetary. Payment token","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00510MTL014","MTL","metal: lead alloy","777","1350","1500","Personal Artefacts & Clothing","Garment fastener","-12.40","-12.85","-12.6250000000000000","metal: lead"
"NZD1.00517MTL055","MTL","metal: lead alloy","777","1500","1700","Not classified",NULL,"-12.40","-12.85","-12.6250000000000000","metal: lead"
"NZD1.00519MTL027","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00519MTL060","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-10.43","-11.40","-10.9150000000000000","metal: lead"
"NZD1.00529MTL027","MTL","metal: lead alloy","777","1500","1600","Arms & Armour","Hilted weapons: scabbards","-11.90","-12.25","-12.0750000000000000","metal: lead"
"NZD1.00585MTL019","MTL","metal: lead alloy","777","1700","1800","Personal Artefacts & Clothing","Garment fastener","-17.32","-18.30","-17.8100000000000000","metal: lead"
"NZD1.00589MTL021","MTL","metal: lead alloy","777","1400","1500","Not classified",NULL,"-18.12","-18.90","-18.5100000000000000","metal: lead"
"NZD1.00600MTL018","MTL","metal: lead alloy","777","1375","1500","Communication & Exchange","Exchange, profane: insignia, pin, keyring, emblem, seal stamp, souvenir","-23.30","-23.75","-23.5250000000000000","metal: lead"
"NZD1.00606MTL002","MTL","metal: lead alloy","777","1500","1600","Food Processing & Consumption","Food consumption: cutlery and tools","-18.12","-18.90","-18.5100000000000000","metal: lead"
"NZD1.00054MTL012","MTL","metal: nickle","777","1971","1971","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-4.95","-6.30","-5.6250000000000000","metal: nickle"
"NZD1.00062MTL003","MTL","metal: nickle","777","1970","1970","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-4.55","-6.68","-5.6150000000000000","metal: nickle"
"NZD1.00062MTL005","MTL","metal: nickle","777","1980","1980","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-4.55","-6.68","-5.6150000000000000","metal: nickle"
"NZD1.00068MTL032","MTL","metal: nickle","777","1956","1956","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-4.94","-6.84","-5.8900000000000000","metal: nickle"
"NZD1.00079MTL059","MTL","metal: nickle","777","1968","1968","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-5.46","-7.50","-6.4800000000000000","metal: nickle"
"NZD1.00090MTL057","MTL","metal: nickle","777","1980","1980","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-5.90","-7.20","-6.5500000000000000","metal: nickle"
"NZD1.00090MTL062","MTL","metal: nickle","777","1963","1963","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-5.90","-7.20","-6.5500000000000000","metal: nickle"
"NZD1.00092MTL073","MTL","metal: nickle","777","1999","1999","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-5.90","-7.20","-6.5500000000000000","metal: nickle"
"NZD1.00098MTL025","MTL","metal: nickle","777","1966","1966","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.12","-7.92","-7.0200000000000000","metal: nickle"
"NZD1.00100MTL003","MTL","metal: nickle","777","1985","1985","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.68","-8.25","-7.4650000000000000","metal: nickle"
"NZD1.00155MTL001","MTL","metal: nickle","21","1972","1972","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-4.64","-4.74","-4.6900000000000000","metal: nickle"
"NZD1.00249MTL049","MTL","metal: nickle","888","1958","1958","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.90","-7.77","-7.3350000000000000","metal: nickle"
"NZD1.00249MTL050","MTL","metal: nickle","888","1968","1968","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.90","-7.77","-7.3350000000000000","metal: nickle"
"NZD1.00292MTL049","MTL","metal: nickle","888","1948","1948","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-5.75","-7.43","-6.5900000000000000","metal: nickle"
"NZD1.00320MTL013","MTL","metal: nickle","777","1950","1950","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.21","-8.36","-7.2850000000000000","metal: nickle"
"NZD1.00321MTL272","MTL","metal: nickle","777","1976","1976","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.21","-8.36","-7.2850000000000000","metal: nickle"
"NZD1.00321MTL273","MTL","metal: nickle","777","1996","1996","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.21","-8.36","-7.2850000000000000","metal: nickle"
"NZD1.00321MTL274","MTL","metal: nickle","777","1950","1950","Communication & Exchange","Exchange, financial: monetary. Coin, worldwide 1815-2005","-6.21","-8.36","-7.2850000000000000","metal: nickle"
